address,categoryName,city,location/lat,location/lng,neighborhood,title
"LULU EVENT MALL C7RJ+27 الامير فواز الجنوبي،, Jeddah Saudi Arabia",مقهى,Jeddah,21.4390049,39.2800659,الأمير فواز الجنوبي,ماما بنز كافيه 
"Sayed Al Shuhada'a, Al Amir Fawwaz Al Junoobi, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4419471,39.2726399,الأمير فواز الجنوبي,إيسو كوفي 
"Sayed Al Shuhada'a, Al Amir Fawwaz Al Junoobi, Jeddah 35365, Saudi Arabia",مقهى,Jeddah,21.4385758,39.2756083,الأمير فواز الجنوبي,ترك زَهر
"Sayyid Ash Shuhada, Al Amir Fawwaz Al Junoobi, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.443002,39.272468,الأمير فواز الجنوبي,ستاربكس 
"Unnamed Road, Al Amir Fawwaz Al Junoobi, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4409919,39.2791687,الأمير فواز الجنوبي,كيان
"افنت مول, Makkah - Jeddah Hwy, Al Amir Fawwaz Al Junoobi, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4406271,39.2784263,الأمير فواز الجنوبي,بارت
"الأجاويد، الامير فواز الجنوبي، Saudi Arabia",مقهى,Jeddah,21.4191317,39.2985316,الأمير فواز الجنوبي,كوارتر كافيه | قهوة مختصة
"سهيل بن عمرو, Al Amir Fawwaz Al Junoobi, Jeddah 22441, Saudi Arabia",مقهى,Jeddah,21.4188867,39.2991249,الأمير فواز الجنوبي,تودي كب | قهوة مختصة
"قطبه بن مالك، حي 2794, Jeddah Saudi Arabia",مقهى,Jeddah,21.419324,39.2979271,الأمير فواز الجنوبي,جـولـيا | قهوة مختصة
"F5QR+9G4, Al Ammariyah, Jeddah 22237, Saudi Arabia",مقهى,Jeddah,21.4883952,39.1913166,العمارية,فرنسي كافيه
"9018 Al Amwaj District Jeddah 23814 4035،, Jeddah 23814, Saudi Arabia",مقهى,Jeddah,21.7474859,39.0860215,الأمواج,تاور كافيه
"Al Amwaj, 9088 - حي, Jeddah 23814, Saudi Arabia",مقهى,Jeddah,21.7624695,39.0779695,الأمواج,3بيليون كافيه
"2823 Prince Mohammed Bin Abdulaziz St, Al Andalus, Jeddah 23322, Saudi Arabia",مقهى,Jeddah,21.5472743,39.1371625,الأندلس,ليتو كافيه
"2941 الامير محمد بن عبدالعزيز, Al Andalus, Jeddah 23322, Saudi Arabia",مقهى,Jeddah,21.547279,39.1387243,الأندلس,قهوة خرستو
"2993 الامير محمد بن عبدالعزيز، 9188، Al Andalus District, Jeddah 23326, Saudi Arabia",مقهى,Jeddah,21.5522144,39.1623749,الأندلس,ال كافيه
"3236 عرفات، حي الاندلس، 23325 7687 Saudi Arabia",مقهى,Jeddah,21.5381945,39.1644334,الأندلس,رونه للقهوة المختصة
"4097 عبدالله المطري, Al Andalus District, 6631, Jeddah 23322, Saudi Arabia",مقهى,Jeddah,21.5476861,39.149727,الأندلس,95 درجة
"4097 عبدالله المطري, Al Andalus District, 6631, Jeddah 23322, Saudi Arabia",مقهى,Jeddah,21.5479056,39.1496899,الأندلس,ديورا كافيه
"6587 الامير محمد بن عبدالعزيز, Al Andalus، 2941, Jeddah 23322, Saudi Arabia",مقهى,Jeddah,21.5473167,39.1384751,الأندلس,إلفين كافي
"6631 Abdullah Al Matari، Tahlia Street, Jeddah 23322, Saudi Arabia",مقهى,Jeddah,21.5472604,39.1495057,الأندلس,سكلبتشر كافيه
"7864 Prince Abdullah AlFiasal St, Ash Shamaliyah, Jeddah 23815, Saudi Arabia",مقهى,Jeddah,21.5479698,39.1563247,الأندلس,مقهى لو بيسترو تيراس
"8231 Al Mustashfa Al Am, 3447, Al Andalus, Jeddah 23325, Saudi Arabia",مقهى,Jeddah,21.5445761,39.1656545,الأندلس,لوزان كافيه
"Al Bouraidi, Al Andalus, Jeddah 23326, Saudi Arabia",مقهى,Jeddah,21.548608,39.1639614,الأندلس,ام ايه كافيه
"Arafat, Al Andalus, Jeddah 23325, Saudi Arabia",مقهى,Jeddah,21.5383279,39.1648705,الأندلس,زد
"G4RH+VPH, Al Andalus, Jeddah 23311, Saudi Arabia",مقهى,Jeddah,21.542175,39.1293483,الأندلس,بون كافيه
"G5Q6+C43, Muhammad Ali Al Harkan, Al Andalus, Jeddah 23325, Saudi Arabia",مقهى,Jeddah,21.538523,39.1602987,الأندلس,دي جي كافيه
"G5W7+P77, 3080 عبدالمجيد شبكشى، الأندلس، 8589, Jeddah 23326, Saudi Arabia",مقهى,Jeddah,21.5465896,39.1634484,الأندلس,تيتانيوم كافيه
"G5W7+P77, 8589 Abd Al Majid Shoubakshi, Al Andalus, 3080, Jeddah 23326, Saudi Arabia",مقهى,Jeddah,21.5465179,39.1630452,الأندلس,أرابيسك كافيه
"G5X6+QP6, Al Andalus، عبدالرحمن الطبيشي، حي, Jeddah 23326, Saudi Arabia",مقهى,Jeddah,21.5494029,39.1617731,الأندلس,بلوبيري كافيه
"G5X7+Q98, Al Foutaihi, Al Andalus, Jeddah 23326, Saudi Arabia",مقهى,Jeddah,21.5494203,39.1634437,الأندلس,أورا كافيه
"Galleria Commercial Center, Prince Mohammed Bin Abdulaziz St, Al Andalus, Jeddah 23326, Saudi Arabia",مقهى,Jeddah,21.5517791,39.1631196,الأندلس,ميلانو كافيه
"H527+CHR, Al Andalus, Jeddah 23326, Saudi Arabia",مقهى,Jeddah,21.5511075,39.1638967,الأندلس,ايه جي كافيه
"Ibrahim Al Jaffali, Ibrahim, Jeddah 23326, Saudi Arabia",مقهى,Jeddah,21.5525236,39.1690479,الأندلس,مقز كافيه
"Prince Mohammed Bin Abdulaziz St, Al Andalus, Jeddah 23431, Saudi Arabia",مقهى,Jeddah,21.5488565,39.1448132,الأندلس,بارنز
"الحرازات, Jeddah 22391, Saudi Arabia",مقهى,Jeddah,21.5434959,39.1712894,الأندلس,لوكلز كافيه
"شارع المستشفى, Al Adel, Jeddah 22361, Saudi Arabia",مقهى,Jeddah,21.4399252,39.3024179,العدل,لوسان كافيه
"عبدالرحمن الطبيشي, Al Andalus, Jeddah 21412, Saudi Arabia",مقهى,Jeddah,21.5488939,39.1615622,الأندلس,زون ايه كافيه
"7358، 5431 عبد الرحمن الناصر, Al Asalah, Jeddah 23738, Saudi Arabia",مقهى,Jeddah,21.7737948,39.1711159,الأصالة,بارنز
"Burger King - The Village, Al Asalah, Jeddah 23738, Saudi Arabia",مقهى,Jeddah,21.7745058,39.1703637,الأصالة,ستاربكس 
"F8JH+488, Al'ayn Al Aziziyah, Jeddah 22374, Saudi Arabia",مقهى,Jeddah,21.7740822,39.1716493,الأصالة,بول
"Manarat At Taqwa, As Salamah, Jeddah 23437, Saudi Arabia",مقهى,Jeddah,21.7737551,39.1700033,الأصالة,تيم هورتنز
"Prince Talal Bin Mansour Rd, Al Asalah, Jeddah 23738, Saudi Arabia",مقهى,Jeddah,21.4666564,39.3752302,الحرازات,في ام كافيه
"Q3CX+HW, 7843, 3538, الشراع،, Jeddah 23816, Saudi Arabia",مقهى,Jeddah,21.7735105,39.1705855,الأصالة,95 درجة
"Q5F9+8J4، طريق الحرمين الفرعي, Al Asalah, Jeddah 23738, Saudi Arabia",مقهى,Jeddah,21.7732705,39.1686607,الأصالة,كرسبي كريم
"R5CC+599 طريق مخطط الرياض الغربي, Jeddah Saudi Arabia",مقهى,Jeddah,21.7736086,39.1706274,الأصالة,إي ال & إن
"ذا ڤيلج, Prince Talal Bin Mansour Rd, Al Asalah, Jeddah 25555, Saudi Arabia",مقهى,Jeddah,21.7733604,39.1701342,الأصالة,ايت اوز كوفي
"ملعب الشامبيونز، الحرازات شارع الأربعين امتداد مثلث العمال بجانب, Jeddah Saudi Arabia",مقهى,Jeddah,21.773302,39.169828,الأصالة,دوحة الكيف
"2174 Al-Madinah Al-Munawarah Rd, Taibah District, 6771, Jeddah 23831, Saudi Arabia",مقهى,Jeddah,21.556214,39.1842651,العزيزية,بارنز
"6, Aziziyah, Flamingo Park Mall، 3rd floor near gate, Jeddah 23338, Saudi Arabia",مقهى,Jeddah,21.5515545,39.2024454,العزيزية,ڤينوس كافيه
"9060 طريق الملك فهد، حي العزيزية، جدة 23334 3286, Jeddah 23334, Saudi Arabia",مقهى,Jeddah,21.5570677,39.1860769,العزيزية,كاندي تري كافيه
"Al Lewaa, Aziziyah, Jeddah 23333, Saudi Arabia",مقهى,Jeddah,21.5485752,39.1821774,العزيزية,ديوان القهوة
"As Sahafah St, Aziziyah, Jeddah 23342, Saudi Arabia",مقهى,Jeddah,21.5528739,39.2093496,العزيزية,بروفايلز للقهوة المختصة
"F9FC+X5M, Jeddah 22394, Saudi Arabia",مقهى,Jeddah,21.5456823,39.1959706,العزيزية,شينيز كافيه
"H54M+CJ2, Tahlia Street, Aziziyah, Jeddah 23334, Saudi Arabia",مقهى,Jeddah,21.556001,39.1840002,العزيزية,بابا روتي كافيه
"H645+2JH، طريق الكورنيش الفرعي, Aziziyah, Jeddah 23342, Saudi Arabia",مقهى,Jeddah,21.5550513,39.20911,العزيزية,بدره كافيه
https://goo.gl/maps/pDzKnF5uupSK3YaP9 Saudi Arabia,مقهى,Jeddah,21.5561332,39.1839436,العزيزية,فايبز كافيه
"JCZA2476, 7402 Ghernatah, Aziziyah, 2476, Jeddah 23342, Saudi Arabia",مقهى,Jeddah,21.5473968,39.206652,العزيزية,زد
"King Abdulaziz International Airport, M56F+PRR،, Jeddah 23635, Saudi Arabia",مقهى,Jeddah,21.4544693,39.327969,العين العزيزية,اكس 7 كافيه
"King Fahd Br Rd, Aziziyah, Jeddah 23334, Saudi Arabia",مقهى,Jeddah,21.5561322,39.1840954,العزيزية,لافادو
"King Fahd Br Rd, Aziziyah, Jeddah 23334, Saudi Arabia",مقهى,Jeddah,21.5555648,39.1875771,العزيزية,ال اي ستارز كافيه
"Minarah Market, Aziziyah, Jeddah 23342, Saudi Arabia",مقهى,Jeddah,21.558813,39.207821,العزيزية,جدة بوينت
"Prince Mohammed Bin Abdulaziz St, Aziziyah Jeddah 23334, Saudi Arabia",مقهى,Jeddah,21.557649,39.1854729,العزيزية,٦٥ درجة
"Q5CG+2RV، ابن الشطوي, Al Hamadaniyyah, Jeddah 23762, Saudi Arabia",مقهى,Jeddah,21.48375,39.30966,أبرق الرغامة,هورس كافيه
"Safia Bint Abdulmutalib St, Al Mohammadiyyah, Jeddah 23621, Saudi Arabia",مقهى,Jeddah,21.483185,39.3103299,العين العزيزية,كوفي شوب اغادير
"شارع الامير نايف, Prince Naif Road, Jeddah 23816, Saudi Arabia",مقهى,Jeddah,21.483258,39.3105113,العين العزيزية,تري كوفي 
"3473 الاندلس الفرعي، Al Baghdadiyah Al Gharbiyah, حي, 7445, Jeddah 22231, Saudi Arabia",مقهى,Jeddah,21.4997515,39.1728033,البغدادية الغربية,كوفي شوب
"4133 الخاوي, Al-Baghdadiyah Al-Gharbiyah, JABA6552، 6552, Jeddah 22232, Saudi Arabia",مقهى,Jeddah,21.4916862,39.1794086,البغدادية الغربية,قاذرنق
"7768 Al Madinah Al Munawarah Rd, 4489, Al Baghdadiyah Al Gharbiyah District, Jeddah 22234, Saudi Arabia",مقهى,Jeddah,21.5024895,39.1831281,البغدادية الغربية,بون كافيه
"Al Madares، طريق الأندلس, Jeddah Saudi Arabia",مقهى,Jeddah,21.4949304,39.173469,البغدادية الغربية,ميكاتو كافيه
"Al Madinah Al Munawarah Rd, Al Baghdadiyah Al Gharbiyah, Jeddah 22234, Saudi Arabia",مقهى,Jeddah,21.509139,39.18213,البغدادية الغربية,بارنز
"Dist, 8488 Maan St, Al-Baghdadiyah Al-Gharbiyah, Jeddah 22234, Saudi Arabia",مقهى,Jeddah,21.5090175,39.1769607,البغدادية الغربية,ستيشن كافيه
"District، King Abdullah Branch Rd Al Baghdadiyah Al Gharbiyah, Jeddah 22231, Saudi Arabia",مقهى,Jeddah,21.5096454,39.1745459,البغدادية الغربية,المذاق المغربي
"G54H+M9V, Hael, Al Baghdadiyah Al Gharbiyah, Jeddah 22234, Saudi Arabia",مقهى,Jeddah,21.506742,39.178414,البغدادية الغربية,القهوة المصري
"G54H+PF8, Hael, Al Baghdadiyah Al Gharbiyah, Jeddah 22234, Saudi Arabia",مقهى,Jeddah,21.506729,39.178623,البغدادية الغربية,قهوة ريشة
"Hael, Al Baghdadiyah Al Gharbiyah, Jeddah 22234, Saudi Arabia",مقهى,Jeddah,21.5074942,39.1781316,البغدادية الغربية,مقهى الكرنك
"King Abdullah Rd, Al Baghdadiyah Al Gharbiyah, Jeddah 22234, Saudi Arabia",مقهى,Jeddah,21.5100632,39.1780874,البغدادية الغربية,اوفردوز
"بارنيز كافيه, Ibrahim Shaker, Al-Baghdadiyah Al-Gharbiyah, Jeddah 22234, Saudi Arabia",مقهى,Jeddah,21.5064131,39.1791575,البغدادية الغربية,بارنز
"Al Madinah Al Munawarah Rd, Al Baghdadiyah Al Sharqiyah, Jeddah 11718, Saudi Arabia",مقهى,Jeddah,21.5013155,39.1840093,البغدادية الشرقية,ليرويال كافيه
"Al Makarunah Rd, Aziziyah, Jeddah 23338, Saudi Arabia",مقهى,Jeddah,21.495634,39.186206,البغدادية الشرقية,مقهى المواردي
"3137 Talat Al Mimar, Al Balad District, 6898, Jeddah 22236, Saudi Arabia",مقهى,Jeddah,21.4848468,39.1867911,البلد,مقهى فاميلي تاون
"3145 Al Dhahab, Al Balad District, 6747, Jeddah 22236, Saudi Arabia",مقهى,Jeddah,21.483592,39.186725,البلد,بوابة القهوة
"3146 زقاق البرخلي، 7086, Al Balad District, Jeddah 22236, Saudi Arabia",مقهى,Jeddah,21.4864589,39.1867145,البلد,مقهى في البلد
"Al Balad, Jeddah 22233, Saudi Arabia",مقهى,Jeddah,21.4838588,39.1834342,البلد,ديفان كافيه
"Al Kabli Ln, Al Balad, Jeddah 22236, Saudi Arabia",مقهى,Jeddah,21.487109,39.1864944,البلد,مقهى ليالي تاريخية
"almahmal trading center, King Abdulaziz Branch Rd, Al Balad, 5th floor, Jeddah 22233, Saudi Arabia",مقهى,Jeddah,21.4836893,39.1832723,البلد,الناي كافيه
"dist, Al Balad, Zo ALGHERRAH LANE (80, Jeddah 22249, Saudi Arabia",مقهى,Jeddah,21.4847349,39.1874338,البلد,قهوة دياب
"F5MM+F8R, Al-Balad, Jeddah 22233, Saudi Arabia",مقهى,Jeddah,21.4837317,39.1832686,البلد,قدح القهوة
"F5MM+G9, Al Balad, Jeddah 22233, Saudi Arabia",مقهى,Jeddah,21.4837509,39.1834725,البلد,صن رايز
"F5MQ+J5H, Al Balad, Jeddah 22236, Saudi Arabia",مقهى,Jeddah,21.484123,39.1879821,البلد,مقهى ميناء
"F5PM+926، البلد،, Jeddah Saudi Arabia",مقهى,Jeddah,21.4859157,39.1825307,البلد,بيت القهوة
"F5PP+QPP، البلد،, Jeddah 22236, Saudi Arabia",مقهى,Jeddah,21.4869594,39.18682,البلد,روشان كافيه
"F5PP+XXV, Abu Inabah, Al Balad, Jeddah 22236, Saudi Arabia",مقهى,Jeddah,21.4874882,39.187421,البلد, تيبلند
"F5PQ+M2C حي, Abu Al Hamayil Ln, Al-Balad, Jeddah 22236, Saudi Arabia",مقهى,Jeddah,21.4866791,39.1875109,البلد,1/15 مقهى الحي
"حي الخنشليله6976, Jeddah 22237, Saudi Arabia",مقهى,Jeddah,21.485811,39.1925048,الصحيفة,دانه كافيه
"3245 طريق الملك عبدلله ابن عبد العزيز،، 8393،, Jeddah 22392, Saudi Arabia",مقهى,Jeddah,21.6733497,39.1209275,البساتين,لاموند 
"4407, Al Basateen, Jeddah 23719, Saudi Arabia",مقهى,Jeddah,21.6959894,39.1087098,البساتين,بارنز
"7415 Prince Sultan Rd, Al Basateen, Jeddah 23717, Saudi Arabia",مقهى,Jeddah,21.6691393,39.1218783,البساتين,دوز
"7922 علي جميل JKAA7922 2392, Jeddah 22812, Saudi Arabia",مقهى,Jeddah,21.6979792,39.1174556,البساتين,يو كافيه
"Al Murjan, Jeddah 21477, Saudi Arabia",مقهى,Jeddah,21.449084,39.306823,المنتزهات,4 ام كافيه
"Al-Salehiyah، حي, Jeddah 23763, Saudi Arabia",مقهى,Jeddah,21.6850714,39.1104296,البساتين,تيم هورتنز
"King Abdul Aziz Rd, Al Basateen, Jeddah 23718, Saudi Arabia",مقهى,Jeddah,21.5039927,39.3597503,الحرازات,الاكا كافيه
"King Abdul Aziz Rd, حي البساتين, Jeddah 23713, Saudi Arabia",مقهى,Jeddah,21.6719472,39.121038,البساتين,مقهى الالومين
"M5FF+F84, King Abdulaziz International Airport, Jeddah 23635, Saudi Arabia",مقهى,Jeddah,21.6733548,39.1209737,البساتين,قهوة باي جي
"Prince Sultan Rd, Al Basateen, Jeddah 23717, Saudi Arabia",مقهى,Jeddah,21.783679,39.174458,الفلاح,القهوة النقية
"Prince Sultan Rd, Al Basateen, Jeddah 27313, Saudi Arabia",مقهى,Jeddah,21.4772834,39.3548377,العين العزيزية,سكاي كافيه
"Prince Sultan Rd, Al Mohammadiyyah, Jeddah 23624, Saudi Arabia",مقهى,Jeddah,21.699575,39.105148,المرجان,مالقه قهوة مختصه
"فرع سلطان 4، شارع الأمير سلطان، AL AMIR SULTAN STREET AFTER AL AYA SQUARE BESIDE AMANAT JEDDAH Jeddah AL BASATEEN حي البساتين, Jeddah Saudi Arabia",مقهى,Jeddah,21.673147,39.1202656,البساتين,بارنز
"285, Al Bashaer, Jeddah 23782, Saudi Arabia",مقهى,Jeddah,21.8209245,39.1749669,البشائر,بارنز
"285, Al Bashaer, Jeddah 23782, Saudi Arabia",مقهى,Jeddah,21.8211009,39.1742066,البشائر, بيفا كافيه
"Al Bashaer، طريق عسفان، الفروسية، جدة 23836, Jeddah 23782, Saudi Arabia",مقهى,Jeddah,21.8212844,39.1744491,البشائر,كافيه سعدالدين
"Al Mourjan, Al Murjan, Jeddah 23715, Saudi Arabia",مقهى,Jeddah,21.8205548,39.1743804,البشائر,بون كافيه
